y x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13
-0.004730554 1 0 -0.4918 0.5004 0.5013 -0.5018 0.4943 -0.025575118 -0.08051485 0.1257688379 -0.164260051 -0.062430122 0.1320659314
-0.033968967 0 1 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 -0.092876075 -0.086733235 -0.06487604 -0.065793498 -0.079642582 -0.142838892
0.0401363483 0 0 0.5082 -0.4996 -0.4987 0.4982 0.4943 -0.040385904 0.1606774841 0.0283084134 0.0574738214 0.0930668906 -0.17192191
-0.013753305 1 1 0.5082 0.5004 -0.4987 0.4982 0.4943 -0.108563895 0.0815521848 0.0058357478 -0.050734762 -0.092941961 0.079657955
0.0281895244 0 0 -0.4918 0.5004 -0.4987 0.4982 -0.5057 0.0390631547 -0.03111977 0.1447244416 0.11451457 0.0055858945 0.0926825925
-0.020175458 1 1 0.5082 -0.4996 0.5013 0.4982 -0.5057 -0.162281532 -0.320332089 -0.06073415 0.1935565821 -0.079655988 0.0746269009
-0.048594752 0 0 -0.4918 -0.4996 0.5013 0.4982 0.4943 -0.155137254 -0.252343483 -0.121393116 -0.183435887 -0.17070495 0.0059827048
0.1024200501 0 1 0.5082 0.5004 0.5013 0.4982 -0.5057 -0.055859904 0.2275662827 0.1604017641 -0.017443469 0.1287950112 -0.079687033
0.0616558452 0 1 0.5082 0.5004 -0.4987 0.4982 -0.5057 -0.071140632 0.0274251346 -0.049024687 0.1380764606 0.1867526533 -0.106951606
-0.025954056 0 0 0.5082 -0.4996 0.5013 0.4982 -0.5057 -0.033054093 -0.124517755 0.0127613728 -0.021936883 -0.177186831 0.0165129091
0.0118170934 0 0 -0.4918 0.5004 0.5013 0.4982 0.4943 0.1102479934 0.2799082917 -0.156149418 -0.290375576 0.0453387308 0.0329841244
0.0854775943 0 1 -0.4918 0.5004 0.5013 0.4982 -0.5057 0.1653895454 -0.02672931 0.1583035272 0.1723054358 -0.015349917 -0.031805721
0.0501054411 0 1 0.5082 0.5004 -0.4987 0.4982 0.4943 -0.012973904 -0.098914665 0.126358164 -0.021582219 0.1188306194 -0.040535673
0.0132592862 0 1 0.5082 0.5004 0.5013 -0.5018 0.4943 -0.160882206 0.0428734631 0.3043034069 0.1112393461 -0.265756718 -0.275272349
0.0147186833 1 0 0.5082 0.5004 0.5013 -0.5018 -0.5057 -0.121921823 0.1167679075 0.0220458641 -0.058033412 -0.323388276 -0.049051216
0.0654038113 0 1 0.5082 0.5004 0.5013 -0.5018 -0.5057 0.2444816573 -0.004338266 -0.113264941 0.1238361267 -0.219336635 -0.085685546
-0.046276588 1 1 0.5082 0.5004 -0.4987 0.4982 0.4943 -0.107291123 0.1039778447 -0.009486853 0.00821546 -0.049278294 0.1389654844
-0.036976762 1 1 0.5082 -0.4996 -0.4987 -0.5018 0.4943 0.0314595038 0.0593369778 -0.057202592 -0.102435307 -0.135069607 -0.065883078
-0.046891125 1 0 0.5082 0.5004 0.5013 -0.5018 -0.5057 -0.057268973 0.0791071292 0.1232565725 -0.212684823 -0.260743042 -0.219399391
0.0185359122 0 1 -0.4918 -0.4996 0.5013 -0.5018 0.4943 -0.055497198 -0.02377539 -0.092387869 0.1902030831 0.108976051 0.0311522496
0.1019573122 0 1 0.5082 -0.4996 0.5013 -0.5018 0.4943 -0.020909859 0.0890165595 0.3410651091 -0.148991352 -0.067634726 0.0049117917
-0.023063437 1 1 0.5082 -0.4996 0.5013 -0.5018 -0.5057 0.1626803437 -0.136055223 0.0688615221 0.1568641318 0.0410508074 0.2258413493
0.0122347124 1 0 0.5082 -0.4996 0.5013 0.4982 -0.5057 -0.015980079 -0.056464634 -0.01489039 -0.135705003 -0.077630338 0.0826671998
0.0039315507 0 0 0.5082 -0.4996 0.5013 0.4982 0.4943 0.130754114 0.0297248647 0.1695643051 0.104141817 0.0491265371 -0.110113714
-0.158018293 1 1 -0.4918 -0.4996 -0.4987 0.4982 0.4943 -0.081759877 -0.13012068 -0.139550634 -0.238574911 0.1132456427 0.3243217504
0.0806407807 0 1 0.5082 -0.4996 0.5013 0.4982 -0.5057 0.1043945336 -0.015159981 -0.03117852 0.0710738018 0.0263190755 -0.012151796
0.001758251 0 0 -0.4918 -0.4996 -0.4987 0.4982 0.4943 0.1420290906 0.1438481581 0.0445312053 -0.007364898 -0.08070115 -0.07613183
0.0175973239 1 1 -0.4918 0.5004 -0.4987 0.4982 0.4943 0.1953855138 -0.064772653 0.1139868416 -0.038012115 -0.010547722 -0.081969426
0.0291452296 0 0 -0.4918 -0.4996 0.5013 -0.5018 -0.5057 0.0447930855 0.1237738075 0.0657067895 0.0512475075 0.0171057164 0.0337185791
-0.032626047 1 1 -0.4918 -0.4996 0.5013 -0.5018 0.4943 0.0585661504 -0.01834628 0.1264029324 0.0605615243 0.1691739408 -0.076237333
-0.047358316 0 1 -0.4918 -0.4996 0.5013 0.4982 -0.5057 0.0239469917 -0.073733206 -0.129202837 0.0870972763 -0.038758901 -0.245307013
0.0166914256 0 1 0.5082 0.5004 0.5013 -0.5018 -0.5057 0.0180747076 -0.038373573 -0.137536145 -0.292061982 0.0427456172 0.0909666943
-0.050607649 1 0 -0.4918 0.5004 -0.4987 0.4982 -0.5057 0.0297248958 -0.056842991 0.1169352924 -0.030205088 0.0364891099 -0.19419495
-0.005097203 1 1 -0.4918 0.5004 0.5013 0.4982 0.4943 0.0373960078 0.0900945281 0.073659928 0.0363937492 0.0923802117 -0.104135633
-0.012800888 1 0 0.5082 -0.4996 -0.4987 -0.5018 0.4943 0.0247021152 0.045867342 -0.058872397 0.2265892785 -0.207292499 0.1161385448
-0.020411114 0 1 -0.4918 -0.4996 -0.4987 0.4982 0.4943 0.0662134326 0.0980937902 -0.144337082 -0.00263261 -0.085332051 0.2139828045
0.0006817323 1 1 -0.4918 0.5004 0.5013 -0.5018 -0.5057 0.0603317578 -0.064551797 -0.025814829 0.1051142436 -0.250186866 -0.148436047
-0.008655842 1 0 -0.4918 -0.4996 -0.4987 0.4982 0.4943 0.0762845942 -0.095281429 0.1751262856 -0.245017098 0.0462116293 0.0864193456
-0.01032152 0 0 -0.4918 -0.4996 0.5013 0.4982 -0.5057 0.0810717548 -0.185569795 -0.116913564 -0.075254184 -0.136182459 -0.270391054
-0.014932206 1 1 0.5082 0.5004 0.5013 -0.5018 -0.5057 0.0722259961 -0.168113614 -0.040827433 -0.029300108 -0.021039301 0.1095308879
-0.009303456 1 0 -0.4918 -0.4996 -0.4987 0.4982 0.4943 -0.046682617 -0.130294058 -0.050393575 0.0345033425 -0.206624237 -0.092152412
-0.011652973 0 1 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 -0.069944432 -0.181203717 -0.034525001 0.1807242537 0.0290880592 0.0983638503
0.0082919598 1 0 -0.4918 -0.4996 -0.4987 -0.5018 -0.5057 0.0749982036 -0.048157368 -0.023337619 0.1113903569 -0.180700124 -0.11417446
-0.021786589 1 0 -0.4918 0.5004 -0.4987 -0.5018 -0.5057 -0.138933022 0.1656651997 0.0830162484 -0.043348593 -0.009060206 0.075249552
-0.038722434 0 0 0.5082 -0.4996 -0.4987 -0.5018 -0.5057 -0.007708 0.0800140937 -0.004781496 -0.219080636 0.1096419437 0.1814986884
-0.018258221 0 0 -0.4918 -0.4996 -0.4987 0.4982 -0.5057 -0.015517049 -0.058624322 -0.209069425 0.0148019559 -0.054454257 -0.10299152
-0.010371898 1 1 -0.4918 -0.4996 0.5013 -0.5018 -0.5057 0.1085664066 -0.004700321 -0.026024039 0.0377374814 -0.069786079 0.054460504
0.0577097585 0 1 0.5082 0.5004 -0.4987 -0.5018 -0.5057 0.2513265621 0.2032983854 -0.066258614 -0.040531188 0.0629551764 0.1207616606
0.0038231983 1 1 0.5082 -0.4996 -0.4987 -0.5018 -0.5057 -0.031866197 0.0936532751 0.0138251556 0.0505691094 0.1069099555 0.0645004363
-0.003482047 0 1 0.5082 -0.4996 -0.4987 -0.5018 -0.5057 -0.03563566 -0.070434638 -0.003773894 0.2018999867 -0.173029737 0.1563616908
-0.012375172 0 0 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 0.1980399236 -0.03643835 0.0087090442 -0.146308825 0.04224975 0.0836856962
0.053664153 0 1 0.5082 -0.4996 0.5013 -0.5018 -0.5057 0.0987977062 -0.00833694 0.2582209914 -0.071060441 0.2442728971 0.0151137964
-0.012907474 1 0 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 0.028373425 0.0383400434 0.0584931612 -0.19108029 0.1204509328 0.0296915545
-0.020826831 1 0 -0.4918 -0.4996 -0.4987 -0.5018 0.4943 -0.023049828 -0.013329417 -0.013791041 -0.098523507 0.2042146828 0.040292768
0.0369920651 0 1 -0.4918 -0.4996 0.5013 0.4982 -0.5057 0.0456722807 0.0052791771 0.115595091 0.1225857626 -0.093094087 0.0111573526
0.0414463089 0 0 0.5082 -0.4996 0.5013 -0.5018 -0.5057 -0.156950293 0.0341017471 -0.098294278 0.281170045 0.1848038984 -0.075714205
-0.0141013 1 0 -0.4918 0.5004 -0.4987 -0.5018 0.4943 0.0185940814 -0.015370213 -0.184900846 -0.145852839 0.0918249305 -0.189869421
0.090779871 0 1 -0.4918 0.5004 0.5013 0.4982 0.4943 -0.153408501 -0.012205988 0.0855727967 -0.093015517 0.2179502512 -0.061900828
0.0321522292 0 1 0.5082 -0.4996 0.5013 -0.5018 -0.5057 -0.045764007 0.0941997065 0.1865949267 0.0028765274 0.0040939694 -0.225053101
-0.008208093 1 0 -0.4918 0.5004 -0.4987 0.4982 -0.5057 -0.002620232 -0.14189164 -0.011582539 -0.068411445 -0.142202959 -0.152196338
-0.024455654 0 0 0.5082 0.5004 0.5013 0.4982 0.4943 -0.064145885 -0.169844722 0.0014895519 -0.033865297 0.0392533222 0.0144622761
0.001031126 1 0 -0.4918 0.5004 -0.4987 -0.5018 -0.5057 -0.059320186 -0.083626663 -0.024973001 0.0306447103 0.2064169467 0.1623170347
0.0105760299 1 0 0.5082 0.5004 -0.4987 -0.5018 0.4943 -0.090089077 0.0163634267 -0.043765911 0.0768077426 -0.29771631 0.1716248854
-0.054103182 1 1 0.5082 0.5004 0.5013 -0.5018 0.4943 0.0537529593 -0.012991405 -0.005434079 -0.014014241 0.2447234331 0.2159603606
